genus,species,reference_no,subfamily,Tribe,Genus,Fossil,min_ma,max_ma,Notes
Formicium,berryi,44588,Fomiciinae,None,Formicium,Yes,38,41.3,Note
Formicium,brodiei,49700,Fomiciinae,None,Formicium,Yes,33.9,38,Note
Calyptites,antediluvianum,39765,Incertae,None,Calyptites,Yes,23.03,33.9,"Possibly not an ant, date seems goofy"
Camelomecia,NA,58266,Incertae,None,Camelomecia,Yes,93.5,99.6,Possibly not an ant
Camelomecia,janovitzi,58266,Incertae,None,Camelomecia,Yes,93.5,99.6,Possibly not an ant
Cretopone,magna,37059,Incertae,None,Cretopone,Yes,89.8,93.9,Possibly not an ant
Curticorna,leptogastrosa,40725,Incertae,None,Curticorna,Yes,48.6,55.8,Possibly not an ant
Eoaenictites,castanifurvus,40725,Incertae,None,Eoaenictites,Yes,48.6,55.8,Maybe not an ant
Eoformica,brevipetiola,55770,Incertae,None,Eoformica,Yes,41.3,47.8,Maybe not an ant
Eoformica,expectans,38999,Incertae,None,Eoformica,Yes,28.4,33.9,Maybe not an ant
Eoformica,globularis,44418,Incertae,None,Eoformica,Yes,46.2,50.3,Maybe not an ant
Eoformica,latimedia,55770,Incertae,None,Eoformica,Yes,41.3,47.8,Maybe not an ant
Eoformica,magna,44418,Incertae,None,Eoformica,Yes,46.2,50.3,Maybe not an ant
Eoformica,pinguis,5045,Incertae,None,Eoformica,Yes,46.2,50.3,Maybe not an ant
Fonsecahymen,stigmata,44582,Incertae,None,Fonsecahymen,Yes,33.9,38,Maybe not an ant
Klondikia,whiteae,44418,Incertae,None,Klondikia,Yes,47.8,56,Maybe not an ant
Kohlsimyrma,gracilis,44418,Incertae,None,Kohlsimyrma,Yes,46.2,50.3,Maybe not an ant
Kohlsimyrma,laticeps,44418,Incertae,None,Kohlsimyrma,Yes,46.2,50.3,Maybe not an ant
Kohlsimyrma,longiceps,44418,Incertae,None,Kohlsimyrma,Yes,46.2,50.3,Maybe not an ant
Myanmyrma,gracilis,36535,Incertae,None,Myanmyrma,Yes,93.5,99.6,Maybe not an ant
Petropone,petiolata,37059,Incertae,None,Petropone,Yes,89.8,93.9,Note
Eocynipites,xilutianensis,40725,Insect,None,Eocynipites,Yes,48.6,55.8,Not an ant
Pristomyrmex,rasnitsyni,44628,Myrmicinae,None,Pristomyrmex,Yes,33.9,38,Note
Quadrulicapito,longa,40725,Myrmicinae,None,Quadrulicapito,Yes,48.6,55.8,Note
Sinomyrmex,brunneus,40725,Myrmicinae,None,Sinomyrmex,Yes,48.6,55.8,Note
Sinomyrmex,furvis,40725,Myrmicinae,None,Sinomyrmex,Yes,48.6,55.8,Note
Solenopsidini,NA,39931,Myrmicinae,Solenopsidini,Solenopsidini,Yes,20.44,23.03,Note
Solenopsis,NA,56112,Myrmicinae,Solenopsidini,Solenopsis,Yes,5.333,8.7,Note
Solenopsis,alena,38999,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,blanda,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,foersteri,38999,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,maxima,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,moesta,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,privata,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,superba,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis,valida,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsites,abdita,55770,Myrmicinae,Solenopsidini,Solenopsites,Yes,41.3,47.8,Note
Solenopsites,minutus,44418,Myrmicinae,Solenopsidini,Solenopsites,Yes,46.2,50.3,Note
Solenopsites,rossi,51861,Myrmicinae,Solenopsidini,Solenopsites,Yes,33.9,38,Note
Veromessor,andrei,52639,Myrmicinae,None,Veromessor,Yes,0.012,0.3,Note
Vollenhovia,beyrichi,44414,Myrmicinae,None,Vollenhovia,Yes,33.9,38,Note
Vollenhovia,prisca,44622,Myrmicinae,None,Vollenhovia,Yes,33.9,38,Note
Wumyrmex,furvis,40725,Myrmicinae,None,Wumyrmex,Yes,48.6,55.8,Note
Zhangidris,atopogaster,16579,Myrmicinae,None,Zhangidris,Yes,11.608,15.97,Note
Archimyrmex,piatnitzkyi,44403,Myrmiciinae,None,Archimyrmex,Yes,41.3,47.8,Note
Archimyrmex,rostratus,44405,Myrmiciinae,None,Archimyrmex,Yes,46.2,50.3,Note
Archimyrmex,smekali,44436,Myrmiciinae,None,Archimyrmex,Yes,41.3,47.8,Note
Archimyrmex,wedmannae,41794,Myrmiciinae,None,Archimyrmex,Yes,40.4,48.6,Note
Avitomyrmex,elongatus,38422,Myrmiciinae,None,Avitomyrmex,Yes,47.8,56,Note
Avitomyrmex,mastax,38422,Myrmiciinae,None,Avitomyrmex,Yes,47.8,56,Note
Avitomyrmex,systenus,38422,Myrmiciinae,None,Avitomyrmex,Yes,47.8,56,Note
Myrmeciites,NA,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Myrmeciites,goliath,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Myrmeciites,herculeanus,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Myrmeciites,tabanifluviensis,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Prionomyrmex,NA,49311,Myrmiciinae,None,Prionomyrmex,Yes,33.9,38,Note
Prionomyrmex,janzeni,44627,Myrmiciinae,None,Prionomyrmex,Yes,33.9,56,Note
Prionomyrmex,longiceps,44414,Myrmiciinae,None,Prionomyrmex,Yes,33.9,38,Note
Prionomyrmex,wappleri,41794,Myrmiciinae,None,Prionomyrmex,Yes,23.03,28.4,Note
Ypresiomyrma,bartletti,38422,Myrmiciinae,None,Ypresiomyrma,Yes,47.8,56,Note
Ypresiomyrma,orbiculata,38422,Myrmiciinae,None,Ypresiomyrma,Yes,47.8,56,Note
Ypresiomyrma,orientalis,56094,Myrmiciinae,None,Ypresiomyrma,Yes,33.9,38,Note
Ypresiomyrma,rebekkae,44639,Myrmiciinae,None,Ypresiomyrma,Yes,47.8,56,Note
Acanthognathus,poinari,44409,Myrmicinae,None,Acanthognathus,Yes,13.82,20.44,Note
Afromyrma,petrosa,38353,Myrmicinae,None,Afromyrma,Yes,89.8,93.9,Note
Agastomyrma,laticeps,56094,Myrmicinae,None,Agastomyrma,Yes,33.9,38,Note
Aphaenogaster,NA,34859,Myrmicinae,None,Aphaenogaster,Yes,5.333,7.246,Note
Aphaenogaster,amphioceanica,5186,Myrmicinae,NA,Aphaenogaster,Yes,13.82,20.44,Note
Aphaenogaster,antiqua,44578,Myrmicinae,NA,Aphaenogaster,Yes,33.9,38,Note
Aphaenogaster,archaica,44433,Myrmicinae,NA,Aphaenogaster,Yes,23.03,28.4,Note
Aphaenogaster,avita,34858,Myrmicinae,None,Aphaenogaster,Yes,13.82,15.97,Note
Aphaenogaster,donisthorpei,4971,Myrmicinae,NA,Aphaenogaster,Yes,33.9,37.2,Note
Aphaenogaster,dumetora,47627,Myrmicinae,NA,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster,lapidescens,16579,Myrmicinae,NA,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster,longaeva,39765,Myrmicinae,Attini,Aphaenogaster,Yes,23.03,33.9,Note
Aphaenogaster,maculata,38999,Myrmicinae,NA,Aphaenogaster,Yes,23.03,28.1,Note
Aphaenogaster,maculipes,38999,Myrmicinae,NA,Aphaenogaster,Yes,28.4,33.9,Note
Aphaenogaster,mayri,4971,Myrmicinae,NA,Aphaenogaster,Yes,33.9,37.2,Note
Aphaenogaster,mersa,40999,Myrmicinae,NA,Aphaenogaster,Yes,33.9,38,Note
Aphaenogaster,oligocenica,40999,Myrmicinae,NA,Aphaenogaster,Yes,33.9,38,Note
Aphaenogaster,paludosa,16579,Myrmicinae,NA,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster,pannonica,44435,Myrmicinae,NA,Aphaenogaster,Yes,5.333,7.246,Note
Aphaenogaster,praerelicta,5186,Myrmicinae,NA,Aphaenogaster,Yes,15.97,23.03,Note
Aphaenogaster,shanwangensis,15208,Myrmicinae,NA,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster,sommerfeldti,44414,Myrmicinae,NA,Aphaenogaster,Yes,33.9,38,Note
Apterostigma,electropilosum,40811,Myrmicinae,NA,Apterostigma,Yes,13.82,20.44,Note
Apterostigma,eowilsoni,40811,Myrmicinae,NA,Apterostigma,Yes,13.82,20.44,Note
Attopsis,longipennis,37344,Myrmicinae,None,Attopsis,Yes,11.608,12.7,Note
Attopsis,longipes,38709,Myrmicinae,None,Attopsis,Yes,11.608,12.7,Note
Biamomyrma,lata,56094,Myrmicinae,None,Biamomyrma,Yes,33.9,38,Note
Biamomyrma,rugosa,56094,Myrmicinae,None,Biamomyrma,Yes,33.9,38,Note
Biamomyrma,zherikhini,56094,Myrmicinae,None,Biamomyrma,Yes,33.9,38,Note
Bilobomyrma,baltica,48824,Myrmicinae,None,Bilobomyrma,Yes,33.9,38,Note
Bilobomyrma,ukrainica,48824,Myrmicinae,None,Bilobomyrma,Yes,33.9,38,Note
Boltonidris,mirabilis,48397,Myrmicinae,None,Boltonidris,Yes,33.9,38,Note
Brachytarsites,dongzhouheensis,40725,Myrmicinae,None,Brachytarsites,Yes,48.6,55.8,Note
Carebara,antiqua,44414,Myrmicinae,Crematogastrini,Carebara,Yes,33.9,38,Note
Carebara,bohemica,44517,Myrmicinae,Crematogastrini,Carebara,Yes,15.97,16.9,Note
Carebara,nitida,44578,Myrmicinae,Crematogastrini,Carebara,Yes,33.9,38,Note
Carebara,rugiceps,37344,Myrmicinae,Crematogastrini,Carebara,Yes,11.608,12.7,Note
Carebara,schossnicensis,37742,Myrmicinae,Crematogastrini,Carebara,Yes,5.333,11.608,Note
Carebara,sophiae,44518,Myrmicinae,Crematogastrini,Carebara,Yes,5.333,11.608,Note
Carebara,thorali,44519,Myrmicinae,Crematogastrini,Carebara,Yes,23.03,28.1,Note
Carebara,ucrainica,44578,Myrmicinae,Crematogastrini,Carebara,Yes,33.9,38,Note
Cataulacus,NA,51392,Myrmicinae,None,Cataulacus,Yes,11.608,12.7,Note
Cataulacus,planiceps,44518,Myrmicinae,None,Cataulacus,Yes,5.333,11.608,Note
Cataulacus,plebeius,44523,Myrmicinae,None,Cataulacus,Yes,15.97,20.44,Note
Cataulacus,silvestrii,44518,Myrmicinae,None,Cataulacus,Yes,5.333,11.608,Note
Cephalomyrmex,rotundatus,4971,Myrmicinae,None,Cephalomyrmex,Yes,33.9,37.2,Note
Cephalotes,NA,57466,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes,alveolatus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,bloosi,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,brevispineus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,caribicus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,dieteri,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,hispaniolicus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,integerrimus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,jansei,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,maya,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes,obscurus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,olmecus,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes,poinari,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes,resinae,40586,Myrmicinae,None,Cephalotes,Yes,0,0.0117,Note
Cephalotes,serratus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,squamosus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,sucinus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes,taino,40586,Myrmicinae,None,Cephalotes,Yes,0,0.0117,Note
Cephalotes,ventriosus,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Clavipetiola,asiatica,40725,Myrmicinae,None,Clavipetiola,Yes,48.6,55.8,Note
Crematogaster,NA,57466,Myrmicinae,None,Crematogaster,Yes,15.97,23.03,Note
Crematogaster,aurora,55770,Myrmicinae,None,Crematogaster,Yes,41.3,47.8,Note
Crematogaster,praecursor,44518,Myrmicinae,None,Crematogaster,Yes,5.333,11.608,Note
Cyphomyrmex,maya,44526,Myrmicinae,None,Cyphomyrmex,Yes,15.97,23.03,Note
Cyphomyrmex,taino,44526,Myrmicinae,None,Cyphomyrmex,Yes,13.82,20.44,Note
Electroponera,dubia,40999,Myrmicinae,None,Electroponera,Yes,33.9,38,Note
Enneamerus,reticulatus,44414,Myrmicinae,None,Enneamerus,Yes,33.9,38,Note
Eocenidris,crassa,38990,Myrmicinae,None,Eocenidris,Yes,38,41.3,Note
Eocenomyrma,electrina,44580,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eocenomyrma,elegantula,44580,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eocenomyrma,orthospina,44580,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eocenomyrma,rugosostriata,44414,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eomyrmex,guchengziensis,44613,Myrmicinae,None,Eomyrmex,Yes,48.6,55.8,Note
Fallomyrma,transversa,44581,Myrmicinae,None,Fallomyrma,Yes,33.9,38,Note
Fushunomyrmex,liaoningensis,40725,Myrmicinae,None,Fushunomyrmex,Yes,48.6,55.8,Note
Hypopomyrmex,bombiccii,44518,Myrmicinae,None,Hypopomyrmex,Yes,5.333,11.608,Note
Ilemomyrmex,caecus,5205,Myrmicinae,None,Ilemomyrmex,Yes,13.82,20.44,Note
Leptothorax,NA,39515,Myrmicinae,None,Leptothorax,Yes,5.333,7.246,Note
Leptothorax,muscorum,54747,Myrmicinae,None,Leptothorax,Yes,0.0117,0.126,Note
Lonchomyrmex,freyeri,38709,Myrmicinae,None,Lonchomyrmex,Yes,11.608,12.7,Note
Lonchomyrmex,nigritus,37742,Myrmicinae,None,Lonchomyrmex,Yes,5.333,11.608,Note
Macabeemyrma,ovata,38422,Myrmicinae,None,Macabeemyrma,Yes,47.8,56,Note
Messor,NA,34859,Myrmicinae,None,Messor,Yes,5.333,7.246,Note
Messor,sculpturatus,4971,Myrmicinae,None,Messor,Yes,33.9,37.2,Note
Miosolenopsis,fossilis,16579,Myrmicinae,None,Miosolenopsis,Yes,11.608,15.97,Note
Monomorium,NA,44580,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Monomorium,kugleri,40645,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Monomorium,mayrianum,44414,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Monomorium,pilipes,44414,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Myrmecites,dubius,56094,Myrmicinae,None,Myrmecites,Yes,33.9,38,Note
Myrmecites,latus,51760,Myrmicinae,None,Myrmecites,Yes,11.608,12.7,Note
Myrmecites,major,56094,Myrmicinae,None,Myrmecites,Yes,33.9,38,Note
Myrmecites,pusillus,37344,Myrmicinae,None,Myrmecites,Yes,11.608,12.7,Note
Myrmecites,rotundiceps,44418,Myrmicinae,None,Myrmecites,Yes,46.2,50.3,Note
Myrmecites,sibiricus,56094,Myrmicinae,None,Myrmecites,Yes,33.9,38,Note
Myrmica,NA,37344,Myrmicinae,None,Myrmica,Yes,11.608,12.7,Note
Myrmica,eocenica,40541,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica,incompleta,54747,Myrmicinae,None,Myrmica,Yes,0.0117,0.126,Note
Myrmica,intermedia,40999,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica,lobifrons,55325,Myrmicinae,None,Myrmica,Yes,0.0117,0.126,Note
Myrmica,longispinosa,44414,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica,paradoxa,40541,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica,rudis,40541,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmicinae,NA,34859,Myrmicinae,None,None,Yes,5.333,7.246,Note
Myrmicites,NA,38738,Myrmicinae,None,Myrmicites,Yes,28.4,33.9,Note
Nesomyrmex,caritatis,44617,Myrmicinae,None,Nesomyrmex,Yes,13.82,20.44,Note
Nesomyrmex,dominicanus,44617,Myrmicinae,None,Nesomyrmex,Yes,13.82,20.44,Note
Orbigastrula,guchengziensis,40725,Myrmicinae,None,Orbigastrula,Yes,48.6,55.8,Note
Oxyidris,antillana,5205,Myrmicinae,None,Oxyidris,Yes,13.82,20.44,Note
Parameranoplus,primaevus,40999,Myrmicinae,None,Parameranoplus,Yes,33.9,38,Note
Paraphaenogaster,hooleyana,51861,Myrmicinae,None,Paraphaenogaster,Yes,33.9,38,Note
Paraphaenogaster,jurinei,37344,Myrmicinae,None,Paraphaenogaster,Yes,11.608,12.7,Note
Paraphaenogaster,microphthalmus,41286,Myrmicinae,None,Paraphaenogaster,Yes,11.608,15.97,Note
Paraphaenogaster,tertiaria,37344,Myrmicinae,None,Paraphaenogaster,Yes,11.608,12.7,Note
Pheidole,NA,44620,Myrmicinae,None,Pheidole,Yes,13.82,20.44,Note
Pheidole,cordata,44586,Myrmicinae,None,Pheidole,Yes,33.9,38,Note
Pheidole,pallidula,56112,Myrmicinae,None,Pheidole,Yes,5.333,8.7,Note
Pheidole,primigenia,44620,Myrmicinae,None,Pheidole,Yes,13.82,20.44,Note
Pheidole,rasnitsyni,47543,Myrmicinae,None,Pheidole,Yes,0,0.0117,Note
Pheidole,tertiaria,4971,Myrmicinae,None,Pheidole,Yes,33.9,37.2,Note
Pheidole,tethepa,5205,Myrmicinae,None,Pheidole,Yes,13.82,20.44,Note
Plesiomyrmex,tubulatus,44624,Myrmicinae,None,Plesiomyrmex,Yes,33.9,38,Note
Podomyrma,mayri,44518,Myrmicinae,None,Podomyrma,Yes,5.333,11.608,Note
Pogonomyrmex,fossilis,4971,Myrmicinae,None,Pogonomyrmex,Yes,33.9,37.2,Note
Quineangulicapito,fushunensis,40725,Myrmicinae,None,Quineangulicapito,Yes,48.6,55.8,Note
Sphaerogasterites,longipetiolatus,40725,Myrmicinae,None,Sphaerogasterites,Yes,48.6,55.8,Note
Stenamma,berendti,44414,Myrmicinae,None,Stenamma,Yes,33.9,38,Note
Stigmomyrmex,venustus,44414,Myrmicinae,None,Stigmomyrmex,Yes,33.9,38,Note
Stiphromyrmex,robustus,44414,Myrmicinae,None,Stiphromyrmex,Yes,33.9,38,Note
Strumigenys,electrina,44409,Myrmicinae,None,Strumigenys,Yes,13.82,20.44,Note
Strumigenys,pilosula,44632,Myrmicinae,None,Strumigenys,Yes,13.82,20.44,Note
Strumigenys,poinari,44632,Myrmicinae,None,Strumigenys,Yes,13.82,20.44,Note
Strumigenys,schleeorum,44409,Myrmicinae,None,Strumigenys,Yes,13.82,20.44,Note
Temnothorax,glaesarius,40999,Myrmicinae,None,Temnothorax,Yes,33.9,38,Note
Temnothorax,gracilis,44414,Myrmicinae,None,Temnothorax,Yes,33.9,38,Note
Temnothorax,hystriculus,40999,Myrmicinae,None,Temnothorax,Yes,33.9,38,Note
Temnothorax,longaevus,40999,Myrmicinae,None,Temnothorax,Yes,33.9,38,Note
Temnothorax,petiolata,44414,Myrmicinae,None,Temnothorax,Yes,33.9,38,Note
Temnothorax,placivus,40999,Myrmicinae,None,Temnothorax,Yes,33.9,38,Note
Temnothorax,praecreolus,44636,Myrmicinae,None,Temnothorax,Yes,13.82,20.44,Note
Tetramorium,kulickae,56231,Myrmicinae,None,Tetramorium,Yes,33.9,38,Note
Tetramorium,paraarmatum,56231,Myrmicinae,None,Tetramorium,Yes,33.9,38,Note
Trachymyrmex,primaevus,44637,Myrmicinae,None,Trachymyrmex,Yes,13.82,20.44,Note
Cephites,fragilis,37344,None,None,Cephites,Yes,11.608,12.7,Fly
Cephites,oeningensis,37344,None,None,Cephites,Yes,11.608,12.7,Fly
Formicidae,NA,34084,None,None,None,Yes,47.8,56,Note
Paraponera,NA,5208,Paraponerinae,None,Paraponera,Yes,13.82,20.44,Note
Paraponera,dieteri,40058,Paraponerinae,None,Paraponera,Yes,13.82,20.44,Note
Afropone,oculata,38353,Ponerinae,None,Afropone,Yes,89.8,93.9,Note
Afropone,orapa,38353,Ponerinae,None,Afropone,Yes,89.8,93.9,Note
Anochetus,ambiguus,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,brevidentatus,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,conisquamis,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,corayi,44413,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,dubius,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,exstinctus,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,intermedius,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Anochetus,lucidus,44411,Ponerinae,NA,Anochetus,Yes,13.82,20.44,Note
Archiponera,wheeleri,4971,Ponerinae,None,Archiponera,Yes,33.9,37.2,Note
Austroponera,schneideri,59088,Ponerinae,None,Austroponera,Yes,20.44,23.03,Note
Cephalopone,grandis,43781,Ponerinae,None,Cephalopone,Yes,40.4,48.6,Note
Cephalopone,potens,43781,Ponerinae,None,Cephalopone,Yes,40.4,48.6,Note
Cyrtopone,curiosa,43781,Ponerinae,None,Cyrtopone,Yes,40.4,48.6,Note
Cyrtopone,elongata,43781,Ponerinae,None,Cyrtopone,Yes,40.4,48.6,Note
Cyrtopone,microcephala,43781,Ponerinae,None,Cyrtopone,Yes,40.4,48.6,Note
Cyrtopone,striata,43781,Ponerinae,None,Cyrtopone,Yes,40.4,48.6,Note
Eogorgites,cingulatus,40725,Ponerinae,None,Eogorgites,Yes,48.6,55.8,Note
Eoponerites,longipetiolatus,40725,Ponerinae,None,Eoponerites,Yes,48.6,55.8,Note
Furcisutura,wanghuacunensis,40725,Ponerinae,None,Furcisutura,Yes,48.6,55.8,Note
Hypoponera,atavia,44414,Ponerinae,None,Hypoponera,Yes,33.9,38,Note
Hypoponera,scitula,49030,Ponerinae,None,Hypoponera,Yes,2.588,5.333,Note
Leptogenys,chinensis,16579,Ponerinae,None,Leptogenys,Yes,11.608,15.97,Note
Leptogenys,lacerata,16579,Ponerinae,None,Leptogenys,Yes,11.608,15.97,Note
Longicapitia,reticulata,40725,Ponerinae,None,Longicapitia,Yes,48.6,55.8,Note
Messelepone,leptogenoides,43781,Ponerinae,None,Messelepone,Yes,40.4,48.6,Note
Odontomachus,paleomyagra,53443,Ponerinae,None,Odontomachus,Yes,16.9,20,Note
Odontomachus,pseudobauri,44411,Ponerinae,None,Odontomachus,Yes,13.82,20.44,Note
Odontomachus,spinifer,44411,Ponerinae,None,Odontomachus,Yes,13.82,20.44,Note
Pachycondyla,NA,57466,Ponerinae,None,Pachycondyla,Yes,15.97,23.03,Note
Pachycondyla,aberrans,56094,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Pachycondyla,baltica,44585,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Pachycondyla,calcarea,38999,Ponerinae,None,Pachycondyla,Yes,28.4,33.9,Note
Pachycondyla,conservata,44602,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Pachycondyla,dubia,38999,Ponerinae,None,Pachycondyla,Yes,28.4,33.9,Note
Pachycondyla,eocenica,43781,Ponerinae,None,Pachycondyla,Yes,40.4,48.6,Note
Pachycondyla,globiventris,38999,Ponerinae,None,Pachycondyla,Yes,28.4,33.9,Note
Pachycondyla,gracilicornis,44414,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Pachycondyla,labandeirai,44418,Ponerinae,None,Pachycondyla,Yes,46.2,50.3,Note
Pachycondyla,lutzi,43781,Ponerinae,None,Pachycondyla,Yes,40.4,48.6,Note
Pachycondyla,messeliana,43781,Ponerinae,None,Pachycondyla,Yes,40.4,48.6,Note
Pachycondyla,minutansata,16579,Ponerinae,None,Pachycondyla,Yes,11.608,15.97,Note
Pachycondyla,nubeculata,16579,Ponerinae,None,Pachycondyla,Yes,11.608,15.97,Note
Pachycondyla,oligocenica,56094,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Pachycondyla,parvula,43781,Ponerinae,None,Pachycondyla,Yes,40.4,48.6,Note
Pachycondyla,petiolosa,43781,Ponerinae,None,Pachycondyla,Yes,40.4,48.6,Note
Pachycondyla,petrosa,43781,Ponerinae,None,Pachycondyla,Yes,40.4,48.6,Note
Pachycondyla,succinea,44414,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Pachycondyla,tristis,44602,Ponerinae,None,Pachycondyla,Yes,33.9,38,Note
Platythyrea,dentata,40294,Ponerinae,None,Platythyrea,Yes,13.82,20.44,Note
Platythyrea,dlusskyi,36397,Ponerinae,None,Platythyrea,Yes,48.6,55.8,Note
Platythyrea,primaeva,38999,Ponerinae,None,Platythyrea,Yes,28.4,33.9,Note
Platythyrea,procera,40294,Ponerinae,None,Platythyrea,Yes,13.82,20.44,Note
Platythyrea,pumilio,44623,Ponerinae,None,Platythyrea,Yes,13.82,20.44,Note
Platythyrea,scalprum,40294,Ponerinae,None,Platythyrea,Yes,13.82,20.44,Note
Ponera,elegantissima,54829,Ponerinae,None,Ponera,Yes,23.03,28.4,Note
Ponera,leptocephala,44518,Ponerinae,None,Ponera,Yes,5.333,11.608,Note
Ponera,lobulifera,44602,Ponerinae,None,Ponera,Yes,33.9,38,Note
Ponera,mayri,44602,Ponerinae,None,Ponera,Yes,33.9,38,Note
Ponera,wheeleri,44602,Ponerinae,None,Ponera,Yes,33.9,38,Note
Ponerinae,NA,36397,Ponerinae,None,None,Yes,47.8,56,Note
Ponerites,NA,51861,Ponerinae,None,Ponerites,Yes,33.9,38,Note
Ponerites,antropovi,51861,Ponerinae,None,Ponerites,Yes,33.9,38,Note
Ponerites,atavinus,37344,Ponerinae,None,Ponerites,Yes,11.608,12.7,Note
Ponerites,coloradensis,44418,Ponerinae,None,Ponerites,Yes,46.2,50.3,Note
Ponerites,crawleyi,5061,Ponerinae,None,Ponerites,Yes,33.9,38,Note
Ponerites,elongatus,38709,Ponerinae,None,Ponerites,Yes,11.608,12.7,Note
Ponerites,eocenicus,44418,Ponerinae,None,Ponerites,Yes,46.2,50.3,Note
Ponerites,gracilior,38709,Ponerinae,None,Ponerites,Yes,11.608,12.7,Note
Ponerites,hooleyi,51861,Ponerinae,None,Ponerites,Yes,33.9,38,Note
Ponerites,hypoponeroides,44418,Ponerinae,None,Ponerites,Yes,46.2,50.3,Note
Ponerites,kishenehne,55770,Ponerinae,None,Ponerites,Yes,41.3,47.8,Note
Ponerites,nitidus,37344,Ponerinae,None,Ponerites,Yes,11.608,12.7,Note
Ponerites,oblongiceps,51760,Ponerinae,None,Ponerites,Yes,11.608,12.7,Note
Ponerites,tenuis,38709,Ponerinae,None,Ponerites,Yes,11.608,12.7,Note
