Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
10,4,2023,17,21,34,998,20,13.562,-2.48,11.363,2.062,-2.824,2,0.213,-0.367,-1.094,33.5,-5.812,-26.75,-0.09,0.087,0.758,1000,1000
10,4,2023,17,21,34,18,20,13.562,-2.48,11.363,2.062,-2.824,2,0.213,-0.367,-1.094,33.5,-5.812,-26.75,0.021,-0.004,0.74,1000,1000
10,4,2023,17,21,34,38,20,6.133,-2.789,10.793,2.062,-2.824,2,0.213,-0.367,-1.094,33.5,-5.812,-26.75,0.021,-0.004,0.74,1000,1000
10,4,2023,17,21,34,98,20,6.133,-2.789,10.793,2.062,-2.824,2,0.213,-0.367,-1.094,33.5,-5.812,-26.75,0.101,-0.077,0.728,1000,1000
10,4,2023,17,21,34,118,20,6.133,-2.789,10.793,2.062,-2.824,2,-0.166,-0.547,-0.01,33.5,-5.812,-26.75,0.101,-0.077,0.728,1000,1000
10,4,2023,17,21,34,138,20,-29.992,3.918,7.074,2.062,-2.824,2,-0.166,-0.547,-0.01,33.5,-5.812,-26.75,0.101,-0.077,0.728,1000,1000
10,4,2023,17,21,34,158,20,-29.992,3.918,7.074,2.062,-2.824,2,-0.166,-0.547,-0.01,33.5,-5.812,-26.75,-0.112,-0.179,0.808,1000,1000
10,4,2023,17,21,34,178,20,-29.992,3.918,7.074,2.062,-2.824,2,-0.238,-0.674,0.102,33.5,-5.812,-26.75,-0.112,-0.179,0.808,1000,1000
10,4,2023,17,21,34,198,20,-29.992,3.918,7.074,2.062,-2.824,2,-0.238,-0.674,0.102,33.5,-5.812,-26.75,-0.107,-0.19,0.81,1000,1000
10,4,2023,17,21,34,218,20,-29.992,3.918,7.074,-16.77,6.582,-2.465,-0.238,-0.674,0.102,33.5,-5.812,-26.75,-0.107,-0.19,0.81,1000,1000
10,4,2023,17,21,34,238,20,-29.992,3.918,7.074,-16.77,6.582,-2.465,-0.238,-0.674,0.102,33.5,-5.812,-26.75,-0.122,-0.184,0.818,1000,1000
10,4,2023,17,21,34,258,20,-29.992,3.918,7.074,-16.77,6.582,-2.465,-0.238,-0.674,0.102,37.062,-3.625,-32.438,-0.122,-0.184,0.818,1000,1000
10,4,2023,17,21,34,278,20,-29.992,3.918,7.074,-16.77,6.582,-2.465,0.111,-0.02,1.1,37.062,-3.625,-32.438,-0.122,-0.184,0.818,1000,1000
10,4,2023,17,21,34,298,20,-29.992,3.918,7.074,-16.77,6.582,-2.465,0.111,-0.02,1.1,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,318,20,-29.992,3.918,7.074,-16.77,6.582,-2.465,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,338,20,-29.992,3.918,7.074,15.934,0.262,1.625,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,358,20,-29.992,3.918,7.074,19.301,2.059,0.34,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,378,20,-29.992,3.918,7.074,18.781,2.551,-0.473,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,398,20,-29.992,3.918,7.074,9.816,2.082,1.902,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,418,20,-29.992,3.918,7.074,4.73,4.441,2.891,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.124,-0.177,0.836,1000,1000
10,4,2023,17,21,34,438,20,-29.992,3.918,7.074,4.73,4.441,2.891,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.13,-0.156,0.839,1000,1000
10,4,2023,17,21,34,458,20,-29.992,3.918,7.074,4.73,4.441,2.891,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.125,-0.153,0.836,1000,1000
10,4,2023,17,21,34,478,20,-29.992,3.918,7.074,3.34,2.387,-0.023,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.125,-0.153,0.836,1000,1000
10,4,2023,17,21,34,498,20,-29.992,3.918,7.074,1.516,2.363,0.391,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.125,-0.153,0.836,1000,1000
10,4,2023,17,21,34,518,20,-29.992,3.918,7.074,0.426,2.574,0.504,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.125,-0.153,0.836,1000,1000
10,4,2023,17,21,34,538,20,-29.992,3.918,7.074,1.758,2.453,0.688,0.59,0.16,0.502,37.062,-3.625,-32.438,-0.125,-0.153,0.836,1000,1000
