Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude,temp,behavior
9,27,2023,12,6,54,643,20,-1.184,-0.219,6.883,-0.297,-0.801,0.027,1000,1000,1000,12.812,-14.812,-36.562,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,663,20,-1.184,-0.219,6.883,-0.297,-0.801,0.027,1000,1000,1000,14.688,-15.562,-37.75,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,683,20,-1.184,-0.219,6.883,0.129,1.602,-2.02,1000,1000,1000,14.688,-15.562,-37.75,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,703,20,-1.184,-0.219,6.883,0.129,1.602,-2.02,1000,1000,1000,17.25,-16,-35.188,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,723,20,-1.184,-0.219,6.883,-0.094,-0.324,-0.844,1000,1000,1000,17.25,-16,-35.188,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,743,20,-1.184,-0.219,6.883,-0.094,-0.324,-0.844,1000,1000,1000,20.25,-16.375,-35.125,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,763,20,-1.184,-0.219,6.883,-0.094,-0.324,-0.844,1000,1000,1000,19.562,-17.375,-34.75,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,783,20,-1.184,-0.219,6.883,0.559,-0.531,-0.336,1000,1000,1000,19.562,-17.375,-34.75,0.098,0.095,-0.986,30.511,-90.4666,80.8,FLOAT
9,27,2023,12,6,54,803,20,-1.184,-0.219,6.883,0.559,-0.531,-0.336,1000,1000,1000,21,-18.188,-32.188,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,823,20,-1.184,-0.219,6.883,0.383,0.547,-0.977,1000,1000,1000,21,-18.188,-32.188,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,843,20,-1.184,-0.219,6.883,0.383,0.547,-0.977,1000,1000,1000,23.625,-18.562,-31.312,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,863,20,-1.184,-0.219,6.883,0.383,0.547,-0.977,1000,1000,1000,23.625,-19.625,-30.438,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,883,20,-1.184,-0.219,6.883,0.383,0.547,-0.977,1000,1000,1000,24,-17.125,-30.125,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,903,20,-1.184,-0.219,6.883,0.383,0.547,-0.977,1000,1000,1000,24.812,-20.375,-28.375,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,923,20,-1.184,-0.219,6.883,-0.016,-0.121,-0.984,1000,1000,1000,24.812,-20.375,-28.375,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,943,20,-1.184,-0.219,6.883,-0.016,-0.121,-0.984,1000,1000,1000,25.562,-20.375,-26.25,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,963,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,25.562,-20.375,-26.25,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,983,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,27.688,-20.75,-27.875,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,3,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,27.375,-22.562,-26.625,0.098,0.095,-0.986,30.511,-90.4666,80.9,FLOAT
9,27,2023,12,6,54,23,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,27.688,-21.812,-27.875,0.098,0.095,-0.986,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,43,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,28.125,-20.75,-25.812,0.098,0.095,-0.986,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,63,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,28.125,-20.75,-25.812,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,83,20,-1.184,-0.219,6.883,-0.461,-1.363,0.406,1000,1000,1000,30.312,-21.938,-22.375,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,103,20,-1.184,-0.219,6.883,-0.211,0.633,-0.27,1000,1000,1000,30.312,-21.938,-22.375,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,123,20,-1.184,-0.219,6.883,-0.211,0.633,-0.27,1000,1000,1000,29.25,-24.312,-25.75,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,143,20,-1.184,-0.219,6.883,-1.211,0.07,-0.18,1000,1000,1000,29.25,-24.312,-25.75,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,163,20,-1.184,-0.219,6.883,-1.211,0.07,-0.18,1000,1000,1000,30.375,-25.812,-23.562,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,54,183,20,-1.184,-0.219,6.883,-1.211,0.07,-0.18,1000,1000,1000,30.688,-23,-24.875,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,203,20,-1.184,-0.219,6.883,-1.211,0.07,-0.18,1000,1000,1000,30.75,-24.375,-24.438,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,223,20,-10.645,-0.871,1.941,-1.211,0.07,-0.18,1000,1000,1000,30.75,-24.375,-24.438,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,243,20,-10.645,-0.871,1.941,-1.012,-0.078,-0.023,1000,1000,1000,30.75,-24.375,-24.438,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,263,20,-10.645,-0.871,1.941,-1.012,-0.078,-0.023,1000,1000,1000,29.688,-27.875,-24,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,283,20,-10.645,-0.871,1.941,-0.75,-0.504,0.031,1000,1000,1000,29.688,-27.875,-24,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,303,20,-10.645,-0.871,1.941,-0.75,-0.504,0.031,1000,1000,1000,30.75,-27.875,-25.688,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,323,20,-9.688,-0.91,1.902,-0.75,-0.504,0.031,1000,1000,1000,30.75,-27.875,-25.688,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,343,20,-9.652,-1.754,2.477,-0.75,-0.504,0.031,1000,1000,1000,30.75,-27.875,-25.688,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,363,20,-9.57,-2.137,2.668,-0.75,-0.504,0.031,1000,1000,1000,30.75,-27.875,-25.688,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,383,20,-9.57,-2.137,2.668,-0.34,-0.242,0.109,1000,1000,1000,30.75,-27.875,-25.688,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,403,20,-9.57,-2.137,2.668,-0.34,-0.242,0.109,1000,1000,1000,31.562,-30.062,-23.938,0.552,0.231,-0.775,30.511,-90.4666,81.3,FLOAT
9,27,2023,12,6,55,423,20,-9.57,-2.137,2.668,0.074,0.098,-0.047,1000,1000,1000,31.562,-30.062,-23.938,0.552,0.231,-0.775,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,443,20,-9.57,-2.137,2.668,0.074,0.098,-0.047,1000,1000,1000,30.375,-28.938,-24.438,0.552,0.231,-0.775,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,463,20,-9.57,-2.137,2.668,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.552,0.231,-0.775,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,483,20,-9.309,-1.906,3.664,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.552,0.231,-0.775,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,503,20,-9.309,-1.906,3.664,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.554,0.2,-0.79,30.511,-90.4666,81.2,FLOAT
